buildingname,buildingaddress,buildingtype,greenmarkrating,lat,long
HEXACUBE,"160 CHANGI ROAD, SINGAPORE 419728",Mixed Development,None,1.316481,103.899281
CITY SQUARE MALL,"180 KITCHENER ROAD, SINGAPORE 208539",Retail,Platinum,1.311243,103.856577
REPUBLIC PLAZA,"9 RAFFLES PLACE, SINGAPORE 048619",Office,Platinum,1.282353,103.850762
CENTRAL MALL,"1 MAGAZINE ROAD, SINGAPORE 059567",Office,Platinum,1.28861,103.842318
KINEX,"11 TANJONG KATONG ROAD, SINGAPORE 437157",Retail,Gold,1.3150629999999999,103.89463
UNITED SQUARE,"101 THOMSON ROAD, SINGAPORE 307591",Mixed Development,None,1.317201,103.843891
TIALOC CENTRE,"731 NORTH BRIDGE ROAD, SINGAPORE 198699",Office,None,1.302661,103.858621
HPL HOUSE,"50 CUSCADEN ROAD, SINGAPORE 249724",Office,None,1.305887,103.828177
,"69 KEONG SAIK ROAD, SINGAPORE 089165",Hotel,None,1.281039,103.84164
CMO BUILDING,"50 SOUTH BRIDGE ROAD, SINGAPORE 058682",Office,None,1.2836319999999999,103.846103
,"1 LORONG 14 GEYLANG, SINGAPORE 398913",Hotel,None,1.312209,103.879184
,"15 LORONG 22 GEYLANG, SINGAPORE 398673",Hotel,None,1.312345,103.882462
WANGZ HOTEL,"231 OUTRAM ROAD, SINGAPORE 169040",Hotel,None,1.284322,103.83501
,"33 LORONG 12 GEYLANG, SINGAPORE 399007",Retail,None,1.310227,103.878807
,"759 MOUNTBATTEN ROAD, SINGAPORE 437761",Hotel,None,1.3005950000000002,103.89154599999999
,"1 LORONG 10 GEYLANG, SINGAPORE 399035",Hotel,None,1.311923,103.877739
PARLIAMENT HOUSE COMPLEX,"1 PARLIAMENT PLACE, SINGAPORE 178880",Office,Platinum,1.288935,103.850297
BROADWAY HOTEL,"195 SERANGOON ROAD, SINGAPORE 218067",Hotel,None,1.309179,103.853225
GATEWAY EAST,"152 BEACH ROAD, SINGAPORE 189721",Office,None,1.2988979999999999,103.85933299999999
,"9 JALAN BESAR, SINGAPORE 208786",Hotel,None,1.303963,103.854177
CHYE SING BUILDING,"87 BEACH ROAD, SINGAPORE 189695",Office,None,1.297453,103.856966
SIXTH AVENUE CENTRE,"805 BUKIT TIMAH ROAD, SINGAPORE 279883",Retail,None,1.321784,103.821428
NOSTALGIA HOTEL,"77 TIONG BAHRU ROAD, SINGAPORE 168727",Hotel,None,1.285095,103.833551
CROWN CENTRE,"557 BUKIT TIMAH ROAD, SINGAPORE 269694",Retail,None,1.321784,103.821428
,"19 LORONG 22 GEYLANG, SINGAPORE 398676",Hotel,None,1.312201,103.882467
GRACE GLOBAL RAFFLES,"137 MARKET STREET, SINGAPORE 048943",Office,GoldPlus,1.2822930000000001,103.850468
,"36 TEMPLE STREET, SINGAPORE 058581",Hotel,None,1.283207,103.843869
LIAN HUAT BUILDING,"163 TRAS STREET, SINGAPORE 079024",Office,None,1.276252,103.84405
THE GLOBE,"100 CECIL STREET, SINGAPORE 069532",Office,None,1.2811620000000001,103.848965
,"380 RACE COURSE ROAD, SINGAPORE 218702",Hotel,None,1.315043,103.857233
,"163 KITCHENER ROAD, SINGAPORE 208538",Hotel,None,1.3102719999999999,103.856533
YEE LAN COURT,"22 BUKIT PASOH ROAD, SINGAPORE 089836",Office,None,1.279121,103.840826
LEUNG KAI FOOK BUILDING,"84 SOUTH BRIDGE ROAD, SINGAPORE 058714",Office,None,1.287167,103.848167
WONG SHEE FUN BUILDING,"74 SOUTH BRIDGE ROAD, SINGAPORE 058704",Office,None,1.287167,103.848167
GOLDEN CASTLE BUILDING,"80 SOUTH BRIDGE ROAD, SINGAPORE 058710",Office,None,1.286809,103.84774300000001
HIGH STREET PLAZA,"77 HIGH STREET, SINGAPORE 179433",Office,None,1.291004,103.84885
VIVO CITY,"1 HARBOURFRONT WALK, SINGAPORE 098585",Retail,Gold,1.263366,103.82196400000001
CAMERON HOTEL,"393F UPPER CHANGI ROAD, SINGAPORE 486917",Hotel,None,1.336742,103.95497399999999
POH HENG BUILDING,"28 NORTH CANAL ROAD, SINGAPORE 059284",Office,None,1.286874,103.84751700000001
CITY PLAZA,"810 GEYLANG ROAD, SINGAPORE 409286",Retail,None,1.315184,103.893711
HOTEL 165,"165 KITCHENER ROAD, SINGAPORE 208532",Hotel,None,1.3104790000000002,103.856274
GRAND U HOTEL,"43 JALAN BESAR, SINGAPORE 208804",Hotel,None,1.304727,103.85475100000001
BEAUTY WORLD CENTRE,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Retail,None,1.342419,103.776126
OLD HILL STREET POLICE STATION,"140 HILL STREET, SINGAPORE 179369",Office,Platinum,1.2904790000000002,103.848146
MINISTRY OF MANPOWER BUILDING,"18 HAVELOCK ROAD, SINGAPORE 059764",Office,Platinum,1.2875,103.844229
MINISTRY OF MANPOWER SERVICES CENTRE,"1500 BENDEMEER ROAD, SINGAPORE 339946",Office,Platinum,1.327404,103.868826
HOTEL ROYAL @ QUEENS,"12 QUEEN STREET, SINGAPORE 188553",Hotel,Gold,1.297559,103.852227
,"301 SERANGOON ROAD, SINGAPORE 218224",Hotel,None,1.311353,103.854752
PERAK COURT,"25A PERAK ROAD, SINGAPORE 208136",Hotel,None,1.305513,103.854108
,"50 TIONG BAHRU ROAD, SINGAPORE 168733",Hotel,None,1.284912,103.834288
KECK SENG TOWER,"133 CECIL STREET, SINGAPORE 069535",Office,Certified,1.280155,103.848955
STRAND HOTEL,"25 BENCOOLEN STREET, SINGAPORE 189619",Hotel,None,1.2986540000000002,103.849738
,"240 JALAN BESAR, SINGAPORE 208913",Hotel,None,1.3094729999999999,103.858162
ONE RAFFLES LINK,"1 RAFFLES LINK, SINGAPORE 039393",Office,GoldPlus,1.292157,103.855695
SCOTTSWALK,"25 SCOTTS ROAD, SINGAPORE 228220",Mixed Development,Gold,1.307089,103.831446
,"37 LORONG 8 GEYLANG, SINGAPORE 399099",Hotel,None,1.310674,103.877397
THE CONCOURSE,"300 BEACH ROAD, SINGAPORE 199555",Office,Platinum,1.301022,103.862493
KIM TIAN (STAR) HOTEL,"4 LORONG 6 GEYLANG, SINGAPORE 399166",Hotel,None,1.311436,103.87624
KIM TIAN HOTEL (HAN),"29 LORONG 4 GEYLANG, SINGAPORE 399281",Hotel,None,1.310162,103.876203
,"21 LORONG 22 GEYLANG, SINGAPORE 398678",Hotel,None,1.312059,103.88247199999999
GSM BUILDING,"141 MIDDLE ROAD, SINGAPORE 188976",Office,None,1.300502,103.851708
MAXWELL CHAMBERS,"32 MAXWELL ROAD, SINGAPORE 069115",Office,None,1.2797459999999998,103.84477
EFG BANK BUILDING,"25 NORTH BRIDGE ROAD, SINGAPORE 179104",Office,None,1.290217,103.849663
YUE HWA (NAM TIN) BUILDING,"70 EU TONG SEN STREET, SINGAPORE 059805",Retail,None,1.2833450000000002,103.842507
AIA TOWER,"1 ROBINSON ROAD, SINGAPORE 048542",Office,Certified,1.281986,103.851099
AIA ALEXANDRA,"371 ALEXANDRA ROAD, SINGAPORE 159963",Office,Certified,1.2909899999999999,103.820786
,"1 KEONG SAIK ROAD, SINGAPORE 089109",Office,None,1.278791,103.841409
ST. ANDREW'S CENTRE,"250 TANJONG PAGAR ROAD, SINGAPORE 088541",Office,None,1.273858,103.843246
