buildingname,buildingaddress,buildingtype,greenmarkstatus,greenmarkrating,greenmarkyearaward,buildingsize,grossfloorarea,2017energyuseintensity,2018energyusintensity,voluntarydisclosure
HEXACUBE,"160 CHANGI ROAD, SINGAPORE 419728",Mixed Development,No,NA,NA,Small,"5,036",81,105,Y
NA,NA,Retail,No,NA,NA,Small,NA,475,402,N
CITY SQUARE MALL,"180 KITCHENER ROAD, SINGAPORE 208539",Retail,Yes,Platinum,2018,Large,"65,640",382,365,Y
REPUBLIC PLAZA,"9 RAFFLES PLACE, SINGAPORE 048619",Office,Yes,Platinum,2018,Large,"102,356",212,183,Y
CENTRAL MALL,"1 MAGAZINE ROAD, SINGAPORE 059567",Office,Yes,Platinum,2017,Large,"15,769",203,181,Y
KINEX,"11 TANJONG KATONG ROAD, SINGAPORE 437157",Retail,Yes,Gold,2015,Large,"28,938",431,396,Y
UNITED SQUARE,"101 THOMSON ROAD, SINGAPORE 307591",Mixed Development,No,NA,NA,Large,"65,933",281,277,Y
TIALOC CENTRE,"731 NORTH BRIDGE ROAD, SINGAPORE 198699",Office,No,NA,NA,Small,385,197,220,Y
HPL HOUSE,"50 CUSCADEN ROAD, SINGAPORE 249724",Office,No,NA,NA,Small,"7,372",278,269,Y
NA,"69 KEONG SAIK ROAD, SINGAPORE 089165",Hotel,No,NA,NA,Small,757,234,228,Y
CMO BUILDING,"50 SOUTH BRIDGE ROAD, SINGAPORE 058682",Office,No,NA,NA,Small,"1,006",7,54,Y
NA,"1 LORONG 14 GEYLANG, SINGAPORE 398913",Hotel,No,NA,NA,Small,430,195,194,Y
NA,"15 LORONG 22 GEYLANG, SINGAPORE 398673",Hotel,No,NA,NA,Small,471,188,203,Y
WANGZ HOTEL,"231 OUTRAM ROAD, SINGAPORE 169040",Hotel,No,NA,NA,Small,"2,324",400,394,Y
NA,"33 LORONG 12 GEYLANG, SINGAPORE 399007",Retail,No,NA,NA,Small,400,344,361,Y
NA,"759 MOUNTBATTEN ROAD, SINGAPORE 437761",Hotel,No,NA,NA,Small,"1,100",151,185,Y
NA,"1 LORONG 10 GEYLANG, SINGAPORE 399035",Hotel,No,NA,NA,Small,555,269,223,Y
PARLIAMENT HOUSE COMPLEX,"1 PARLIAMENT PLACE, SINGAPORE 178880",Office,Yes,Platinum,2015,Large,"19,765",127,132,Y
BROADWAY HOTEL,"195 SERANGOON ROAD, SINGAPORE 218067",Hotel,No,NA,NA,Small,"2,162",247,253,Y
GATEWAY EAST,"152 BEACH ROAD, SINGAPORE 189721",Office,No,NA,NA,Large,"105,307",201,190,Y
NA,"9 JALAN BESAR, SINGAPORE 208786",Hotel,No,NA,NA,Small,760,180,211,Y
